Date,Open,High,Low,Close,Adj Close,Volume
2013-05-10,39.459999,39.695000,39.224998,39.674999,38.335213,7354600
2013-05-13,39.544998,39.840000,39.369999,39.724998,38.383530,6420200
2013-05-14,39.764999,40.595001,39.764999,40.560001,39.190331,6897200
2013-05-15,40.435001,41.139999,40.380001,40.985001,39.600983,9269800
2013-05-16,40.814999,41.090000,40.470001,40.599998,39.228985,8859800
2013-05-17,40.869999,41.419998,40.785000,41.395000,39.997135,9474400
2013-05-20,41.305000,41.695000,41.209999,41.369999,39.972992,7263200
2013-05-21,41.430000,41.794998,41.154999,41.514999,40.113083,8301800
2013-05-22,41.575001,42.424999,40.490002,40.805000,39.427055,22456200
2013-05-23,39.990002,40.855000,39.884998,40.660000,39.286957,16557400
2013-05-24,40.119999,40.555000,39.900002,40.549999,39.180668,11881000
2013-05-28,41.424999,41.764999,40.799999,41.000000,39.615463,13462600
2013-05-29,40.590000,40.779999,40.064999,40.520000,39.151691,11306400
2013-05-30,40.575001,41.165001,40.505001,40.799999,39.422230,7628200
2013-05-31,40.580002,41.035000,39.525002,39.625000,38.286903,14568800
2013-06-03,39.814999,40.105000,39.230000,40.044998,38.692719,23720200
2013-06-04,40.115002,40.419998,39.264999,39.700001,38.359371,15863600
2013-06-05,39.445000,39.605000,38.494999,38.555000,37.253048,20247000
2013-06-06,38.529999,39.250000,38.075001,39.235001,37.910072,24208200
2013-06-07,39.785000,40.305000,39.450001,40.209999,38.852150,16694200
2013-06-10,40.500000,40.540001,40.035000,40.209999,38.852150,14231800
2013-06-11,39.505001,40.119999,39.240002,39.419998,38.088821,15221400
2013-06-12,39.970001,40.029999,38.685001,38.785000,37.475266,17835000
2013-06-13,38.720001,40.070000,38.544998,39.935001,38.586437,10927800
2013-06-14,39.860001,40.154999,39.299999,39.430000,38.098495,13767800
2013-06-17,39.974998,40.415001,39.610001,40.035000,38.683067,11022000
2013-06-18,40.099998,40.790001,40.084999,40.634998,39.262814,8044200
2013-06-19,40.595001,40.740002,39.509998,39.544998,38.209602,20835600
2013-06-20,38.770000,38.884998,37.384998,37.590000,36.320629,31334800
2013-06-21,38.070000,38.145000,37.055000,37.794998,36.518696,23279800
2013-06-24,37.009998,37.505001,36.224998,36.860001,35.615288,32176400
2013-06-25,37.525002,37.840000,37.029999,37.570000,36.301296,14956400
2013-06-26,38.145000,38.439999,37.849998,38.255001,36.989269,10734000
2013-06-27,38.740002,39.070000,38.650002,38.700001,37.419544,10719400
2013-06-28,38.500000,38.875000,38.139999,38.365002,37.095623,14817400
2013-07-01,38.799999,39.369999,37.950001,38.794998,37.511402,54774400
2013-07-02,38.705002,39.275002,38.415001,38.700001,37.419544,13177400
2013-07-03,38.415001,39.029999,38.279999,38.790001,37.506557,5580200
2013-07-05,39.365002,39.665001,38.799999,39.639999,38.328449,10205600
2013-07-08,40.044998,40.305000,39.904999,40.075001,38.749039,10074600
2013-07-09,40.580002,40.770000,40.250000,40.665001,39.319523,8180200
2013-07-10,40.595001,40.970001,40.424999,40.685001,39.338871,9466000
2013-07-11,41.634998,41.880001,41.355000,41.799999,40.416962,9680400
2013-07-12,41.779999,42.005001,41.650002,41.790001,40.407295,8449400
2013-07-15,42.064999,42.270000,41.915001,42.185001,40.789234,5897800
2013-07-16,42.200001,42.250000,41.615002,41.830002,40.445980,12316600
2013-07-17,42.165001,42.305000,41.945000,42.055000,40.663528,7871800
2013-07-18,42.220001,42.705002,42.185001,42.505001,41.098648,9637400
2013-07-19,42.325001,42.685001,42.224998,42.685001,41.272686,7771400
2013-07-22,42.794998,42.950001,42.584999,42.834999,41.417717,6782600
